Unique Response Number,1. I agree with the above information.,2. Please select the appropriate age range.,2.a. Which subject area are you studying?,3. Have you used any Generative AI tools as part of your studies? (A generative AI tool will usually create new content from a prompt),4. Which of the following generative AI tools have you used?,"4.a. If you selected Other, please specify:",5. What devices do you use for Generative AI?,"5.a. If you selected Other, please specify:",6. What are your reasons for not using Generative AI tools in your studies?,"6.a. If you selected Other, please specify:",7. How helpful are AI tools in the following tasks?,7.1. Generating new content,7.2. Summarising content,7.3. Editing text,7.4. Revising grammar and sentence structure,7.5. Generating ideas,7.6. Research,7.7. Planning,7.8. Inspiration,7.9. Writing Communications,7.10. Summarising notes,7.11. As a discursive tool / collaborative partner,8. How do you feel about the advancements and availability of AI generative tools during your studies?,9. How much do you agree with these statements?,9.1. The use of AI in education may give an unfair advantage to those who use them.,9.2. AI tools should be available to ALL students to ensure equality.,9.3. Students trained in the use of AI tools will have more opportunities in the future.,9.4. Access to AI systems should be restricted at the University so that they do not undermine learning.,10. Are you aware of the university guidelines around the use of AI within your studies?,11. How important do you think it is that your tutors teach you how to use Generative AI tools?,11.1. Not at all important vs Very Important,12. How would you feel if academic staff used AI to mark and feedback on your assignments?,13. How would you feel if your tutors used Generative AI tools to create teaching content?,"14. If you have any other thoughts about the use of Generative AI, please write them below.",CompletionDate
1036763-1036745-110208777,Yes,18-24,Arts,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Strongly agree,Disagree,Strongly agree,Yes,,3,Unsure,Unsure,I do not believe that AI should be used. Many jobs will be lost,2023-05-04
1036763-1036745-110208640,Yes,25-34,Arts,Yes,Night Cafe,,PC,,,,,Very Helpful,I have not used any,I have not used any,I have not used any,Very Helpful,I have not used any,Very Helpful,Very Helpful,I have not used any,I have not used any,I have not used any,Positive,,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,No,,5,"As long as the end result is checked over by a competent person, I would be happy  to be graded with AI",They can and should use every tool at that they can to provide a quality teaching experience,"Use of AI is great, lying about the use of AI to pass it off as your own work is the problem. Generative AI is just a tool to be used by us, much like the many tools included within photoshop.     I would however say that students shouldn't rely entirely on AI and should develop their own skills, even if one of those skills is to use AI.",2023-05-04
1036763-1036745-110209616,Yes,25-34,Arts,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,Positive,,Agree,Strongly agree,Strongly agree,Strongly disagree,No,,5,Welcome it,Welcome it,,2023-05-04
1036763-1036745-110209643,Yes,18-24,Arts,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,Negative,,Strongly agree,Strongly disagree,Disagree,Strongly agree,,,1,Disappointed. Why am I being taught by people but not getting my work marked those people.,I'm not sure how they would generate teaching content that is viable. ,"For artists especially, it steals others work and is a soulless form of ""art"" not done by people, showing no skill in the art form, and lack of care to the artists who worked really hard to create their work, only for it to be stolen. AI can have it's uses, but to replace things like art and science, it has no place.",2023-05-04
1036763-1036745-110210473,Yes,18-24,Arts,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Agree,Disagree,Agree,No,,2,I would like the proper and honest feedback of the academic staff - not the opinion of a computer.,It would defijately save them time but would it be as high quality?,I think it's a fun tool that should remain just that. Personally I don't see the point of implementing it in our learning,2023-05-04
1036763-1036745-110210255,Yes,18-24,Arts,Yes,"Mid Journey,Other","Lensa, Dawn ai",Phone,,,,,Helpful,Very Helpful,I have not used any,I have not used any,Helpful,Very Helpful,Very Helpful,Very Helpful,I have not used any,Very Helpful,Very Helpful,Positive,,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,,5,As humans evolve Technology evolves as well and I don't have anything against new methods ,Excited about the new opportunities ,"Ai is the future and we have to get used to it. It s a tool made by humanity to help humanity, used in the right way it can be a very useful tool in any industry ",2023-05-04
1036763-1036745-110208018,Yes,25-34,Science and Technology,Yes,ChatGPT,,Laptop,,,,,Neither helpful or unhelpful,Helpful,I have not used any,Helpful,Very Helpful,Neither helpful or unhelpful,Helpful,Neither helpful or unhelpful,I have not used any,Very Helpful,Very Helpful,Positive,,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree,No,,2,Using AI for grading and feedback may devalue the importance of critical thinking and writing skills,Positive. They can learn something new too and make sure they have up to date knowledge.,"Whether or not it is good to use AI in the learning process depends on how you use it. If you thoughtlessly just copied text or code, then this will harm your education and, in the future, the whole industry since there will be no people left who can at least do something independently. Using AI as a learning partner, asking it to explain every line without always agreeing, contributes to your professional development.",2023-05-04
1036763-1036745-110212584,Yes,18-24,Arts,Yes,"ChatGPT,Bing AI,Mid Journey",,"Laptop,Phone,PC",,,,,Very Helpful,Very Helpful,Very Helpful,Helpful,Very Helpful,Helpful,Neither helpful or unhelpful,Helpful,Neither helpful or unhelpful,Helpful,Helpful,Negative,,Agree,Agree,Strongly agree,Disagree,No,,5,I would not be happy,it would not be terrible but it has to be a mix of the tutors own work and the AI assisting them,I'm not the biggest fan as a lot of people nowadays are undermining human artists work when compared to generative AI's creations,2023-05-04
1036763-1036745-110212572,Yes,18-24,Arts,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,Negative,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,,5,"I would hate it because it's lazy, teachers getting paid for no work would be unfair, unless everyone gets the same utopia.","Not good, would be unfair and lazy having to pay nine thousand+ pounds a year to get content I could have asked an AI to give me.",,2023-05-04
1036763-1036745-110213461,Yes,18-24,Business and Law,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,Negative,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,,1,"Makes their job easier and faster, so why not.", Bad. Why am I paying the money for them to generate it through AI. ,,2023-05-04
1036763-1036745-110224710,Yes,18-24,Business and Law,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,Negative,,Strongly agree,Agree,Agree,Strongly agree,Yes,,3,"Anxious, can an AI tool interpret an essay the same way a human can? Also I’m not writing it to impress/be marked  a computer so it would undermine the teaching process. ",Happy - it’s the same as using other platforms to create content. Just don’t want it to replace them teaching. ,,2023-05-05
1036763-1036745-110225188,Yes,18-24,Business and Law,No,,,,,I don't know how to use any of the AI tools,,,,,,,,,,,,,,Positive,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,,5,Positive,Positive,,2023-05-05
1036763-1036745-110227884,Yes,18-24,Business and Law,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,Negative,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Yes,,1,"Unacceptable. Whether staff or students use AI, it is cheating and does not provide contextual insights only known to a human being",Same as above,This software should be BANNED in education and only used in HE when researched,2023-05-05
1036763-1036745-110235049,Yes,25-34,Arts,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,Negative,,Strongly agree,Disagree,Agree,Strongly agree,No,,1,I would appreciate my assignments being marked by AI as it’s a creative subject and it AI would not have the nuanced understanding of art that a human does,Not good. It’s lazy ,,2023-05-05
1036763-1036745-110239486,Yes,18-24,Science and Technology,Yes,"ChatGPT,Mid Journey",,Laptop,,,,,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Helpful,Helpful,Neither helpful or unhelpful,Unhelpful,Very Helpful,Very Helpful,Very Helpful,Positive,,Agree,Agree,Strongly agree,Disagree,,,4,"AI can maybe mark the assignment, but for feedback, I would prefer the human view, also It would be best if AI works under human supervision.",I would not mind until and unless the content is relevant and insightful and the tutor can clear my doubts.,"As a student who is studying AI and working myself on a project involving generative AI, I would say that generative AI is still a very much evolving field and its capabilities cannot be judged just yet because we can see new architecture development regularly. Currently, people are working towards making the models more interpretable and see how the AI actually make decisions and hence increasing the explainability of the AI, So there are many more breakthroughs coming in, I can say that everything cannot be in favor of humans, and as far as technology is concerned, everything can be used for bad and malicious purposes, hence if the power will lie in wrong hands, then it is bound to create trouble, this remark applies from students who are using Generative AI to write their assignments to activists who are using AI to spread the propaganda by providing biased data.",2023-05-05
1036763-1036745-110242267,Yes,18-24,Science and Technology,Yes,"ChatGPT,DALL E,Mid Journey",,"Laptop,Phone,PC",,,,,Helpful,Very Helpful,I have not used any,I have not used any,Very Helpful,Very Helpful,Helpful,Helpful,I have not used any,Very Helpful,Very Helpful,Positive,,Strongly agree,Neither agree nor disagree,Agree,Disagree,Yes,,3,I feel like it might end in inconsistencies but overall could assist teachers in going over large amounts of work,AI isn't current amazing in sense of generating its own content and requires guidance and proof reading so it'd be better if it was used for notes rather than making the lesson ,,2023-05-05
1036763-1036745-110248823,Yes,18-24,Science and Technology,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Yes,,5,,,,2023-05-05
1036763-1036745-110254367,Yes,25-34,Business and Law,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,Positive,,Disagree,Agree,Neither agree nor disagree,Disagree,No,,3,,,,2023-05-05
1036763-1036745-110277837,Yes,25-34,Arts,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,No,,4,I think AI will help about bias but still need revision by tutors.,It is okay but give a note that content came from AI tools,I think AI tools are useful and inevitable how they are going to play the important role in many learning fields so I think I have to adapt in technological development.,2023-05-05
1036763-1036745-110284167,Yes,35-44,Health,Yes,Other,Quilbot,Laptop,,,,,Unhelpful,Unhelpful,Unhelpful,Helpful,Unhelpful,Helpful,Helpful,Helpful,Neither helpful or unhelpful,Not helpful at all,Helpful,Positive,,Disagree,Agree,Agree,Disagree,No,,2,Not good ,Not good,Should be regulated,2023-05-06
1036763-1036745-110284925,Yes,25-34,Health,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,Negative,,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,No,,1,"I would not like this, it would feel as though the person doesn’t care. ",Wouldn’t mind it for the teaching aspect,Generally quite nervous of where we are heading with AI ,2023-05-06
1036763-1036745-110308881,Yes,55-64,Health,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Disagree,Neither agree nor disagree,Disagree,,,1,I feel it is not fair,It maybe fair,It should not be encouraged,2023-05-07
1036763-1036745-110337259,Yes,25-34,Business and Law,Yes,ChatGPT,,Laptop,,,,,Not helpful at all,Helpful,Not helpful at all,Not helpful at all,Helpful,Not helpful at all,Helpful,Very Helpful,Helpful,Not helpful at all,Unhelpful,I have no strong feelings one way or the other,,Agree,Strongly agree,Agree,Agree,Yes,,3,Unhappy,"Fine, if it was reviewed and approved by them beforehand","I think it could be a good tool to use to inspire the right kinds of behaviours in academic writing or educate a wider breadth of knowledge for certain subjects, but there will always be people that seek out to cheat any regulatory systems in place resulting in students/lecturers taking advantage of the ease of uses without thinking of their own academic integrity.",2023-05-08
1036763-1036745-110368646,Yes,18-24,Science and Technology,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,Negative,,Strongly agree,Disagree,Disagree,Strongly agree,No,,2,not good. if it is unfair in assignments its unfair for tutors. whats the point in doing a degree if the whole output will be computer generated. its not your knowledge at all ,depends if it is truthful information. ,i think its really unfair on students who want to apply their own knowledge to a degree. its cheating to get a degree through a computer generated system. you can google anything it defeats the credibility of a degree ,2023-05-09
1036763-1036745-110374371,Yes,18-24,Science and Technology,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,No,,1,I wouldn't like it because they should be marking it themselves,"Depends. If it makes the quality of content better, go for it. If it makes it worse then don't use it.",There's now an AI tool on snapchat. I renamed mine Peter Andre.,2023-05-09
1036763-1036745-110378726,Yes,25-34,Science and Technology,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,Positive,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,,,1,"It's equal to students using it, it's cheating. The job of academic staff is to provide personalised feedback that is relevant to that student. ",I wouldn't attend university if tutors used AI for marking or teaching.,,2023-05-09
1036763-1036745-110384334,Yes,18-24,Other / prefer not to say,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,Negative,,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,No,,1,"I wouldn't be happy. I have come to this university partly for the quality of lecturers so I expect my lecturers to mark and feedback my work for their opinion and advice, not AI",I wouldn't mind it personally if my tutors used AI to help create teaching content however if my tutors used AI to create an entire lecture then I again wouldn't be happy because then I might as well teach myself using AI,"It's a scary advancement of technology, snapchat has added a new AI feature and it replies to messages so fast and detailed that you can't tell it's AI if you were not told about it. AI worries me for what it could do in the future.",2023-05-09
1036763-1036745-110390454,Yes,18-24,Other / prefer not to say,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Yes,,1,How can a humans piece of work be assessed by a robot with no/limited/potentially incorrect knowledge on a subject.  Just seems like a way to pay less people,Wouldn't likely be accurate or detailed enough ,"I hate MyAI on snapchat, and hope AI does not carry on with its rapid development",2023-05-09
1036763-1036745-110428847,Yes,45-54,Health,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,Negative,,Strongly agree,Disagree,Agree,Strongly agree,,,3,"I would be upset, I want to know that a fellow human being has read my work","Could this potentially undermine the role of tutors?  I have considered this in relation to general teaching during the covid pandemic; it could mean that there is continuity between teaching styles and information provided, but that is not a real life situation and my course should be preparing me for real life experiences.","I can see that there may be some positives with AI - continuity of teaching styles and information shared, however, AI should not replace a human who can explore the nuances of work with their students.  I feel this is particularly relevant to healthcare students.",2023-05-10
1036763-1036745-110433251,Yes,25-34,Health,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,No,,3,,,,2023-05-10
1036763-1036745-110434189,Yes,25-34,Health,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,Positive,,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,,,3,That won’t be helpful as comments will not be genuine from your tutor’s perspective about you as a student ,It can be very helpful. So I would suggest we have a combine ideals from AI and tutors wide reading and experience to produce teaching content ,N/A,2023-05-10
1036763-1036745-110437355,Yes,18-24,Arts,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,Positive,,Agree,Agree,Agree,Neither agree nor disagree,No,,3,Not happy,Maybe,,2023-05-10
1036763-1036745-110471046,Yes,45-54,Health,No,,,,,I am not aware of AI tools,,,,,,,,,,,,,,Positive,,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,2,"i dont know, because i do not know if AI is able to mark.","If it can help, that is fine",no,2023-05-10
1036763-1036745-110490473,Yes,18-24,Science and Technology,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,Positive,,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Yes,,3,"Depends on where they are being used, as it's important to note that AI can be biased and make up answers that don't exist if it doesn't understand a question. So  I will feel bad if it's used to mark and give feedback, however if it's used in form of an assistance tool to mark and grant feedback with the academic staff overseeing and giving the final marks on it that's more acceptable.","I have no problem with that and am okay with it , what matters is if they are using it correctly to create an academically right content that's simplified enough to taught in class and what is taught is meets the highest standards. All in all, it all falls down to how it's used and how you ensure the teaching content created is accurate.","Well, I believe that's future we heading, and it's something we need to adopt to every aspect of our life in order not to be left behind as it seems the world is moving fast with the various AI announcement that we have seen so far in the tech world. Adopting it, will be a huge advantage as those who can wield stand a chance at being competitive for upcoming roles in the business, as we have seen various layoff since various AI tools have been announced so far. However I believe this affects the academic aspect deeply, but I think what will happen is it will change the criterias on which an academic work might be grade on also , it's important to note that using generative AI takes a ton of skills, knowledge of various vocabulary terms, logical understanding of what you need the AI to do before you can even get envisioned result from it. ",2023-05-11
1036763-1036745-110512275,Yes,35-44,Business and Law,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,Positive,,Neither agree nor disagree,Agree,Agree,Agree,No,,4,Should be marked and feedback by teacher,Good,Create and awarenees among students and use for improvement for studies ,2023-05-11
1036763-1036745-110518911,Yes,25-34,Other / prefer not to say,Yes,ChatGPT,,"Laptop,PC",,,,,Helpful,Very Helpful,Helpful,Neither helpful or unhelpful,Very Helpful,Helpful,Neither helpful or unhelpful,Helpful,Very Helpful,Very Helpful,Very Helpful,Positive,,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Yes,,2,,,,2023-05-11
1036763-1036745-110532017,Yes,18-24,Business and Law,Yes,"ChatGPT,Bing AI",,"Laptop,Phone",,,,,,,,,,Helpful,,,,,,Positive,,,Agree,,,,,1,I think its good ,good ,no,2023-05-11
1036763-1036745-110533526,Yes,18-24,Science and Technology,Yes,"ChatGPT,Bing AI,DALL E,Mid Journey",,"Laptop,Tablet,Phone,PC",,,,,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Positive,,Disagree,Strongly agree,Strongly agree,Strongly disagree,No,,5,"In my opinion, relying solely on AI for marking and feedback in academia may not be ideal. The effectiveness of using AI for this purpose can vary depending on the types of questions involved. Academic staff feedback should aim to be natural and realistic, taking into account the individual student's background, abilities, and circumstances. AI, being generated based on a given text prompt, may not possess the necessary understanding and context to provide personalized and meaningful feedback that can truly help students improve. Therefore, it is important to consider the limitations of AI in this context and prioritize the value of human expertise in providing tailored feedback to students.","Teachers should be using generative AI tools to create interactive teaching materials and high quality materials that go beyond traditional text and images. AI-generated images can be tailored to match specific requirements and effectively convey emotions and concepts. By incorporating animation, short videos, and high-quality graphics, students are more likely to grasp and retain information for a longer period of time. These engaging and visually stimulating elements have proven to be more memorable and effective in conveying complex ideas compared to text alone. Therefore, leveraging AI to generate interactive content can enhance the learning experience and facilitate better comprehension among students.","implementing AI in universities can bring several benefits. It can automate administrative tasks, analyze data for insights, provide immediate student support, somewhat cheaper for students and optimize resources. These advantages contribute to increased efficiency and improved student experiences in the university setting.",2023-05-12
1036763-1036745-110560426,Yes,18-24,Other / prefer not to say,No,,,,,I don't feel the need to use AI tools.,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,No,,2,"it would be quicker, especially during strikes/staff absence/delays etc. however AI is not perfect and still makes a lot of mistakes, which can effect the results given to students. Although it can reduce human errors in marking, AI is trained by humans. Plus AI can cause issues with jobs, where people lose their jobs because they can be replaced by AI.","Id prefer a more ""human touch"" when it comes to teaching. i dont think id benefit from lessons that are really robotic. Tutors should be able to express their creativity and emotions in their content, rather than using AI for everything.",,2023-05-12
1036763-1036745-110565685,Yes,18-24,Education and Society,Yes,ChatGPT,,Laptop,,,,,Helpful,I have not used any,I have not used any,I have not used any,Very Helpful,I have not used any,Very Helpful,Helpful,Helpful,I have not used any,Helpful,Positive,,Neither agree nor disagree,Agree,Agree,Agree,,,2,"I feel feedback is more appropriate when provided by staff, as they have a deeper understanding of the assignments",I think AI is useful for generating ideas and helping to structure points - it is a useful starting place for anyone,"I think AI is useful in kickstarting a project, but I believe it is dishonest to use it to write full assignments as it is not taking into account what has been learned by the pupil.",2023-05-12
1036763-1036745-110567878,Yes,18-24,Business and Law,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,I have no strong feelings one way or the other,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,,,1,,,,2023-05-12
1036763-1036745-110568254,Yes,18-24,Education and Society,No,,,,,I am concerned about the data it may be gathering about me and my interactions,,,,,,,,,,,,,,Negative,,Agree,Strongly disagree,Strongly disagree,Strongly agree,,,1,Not good. I don't agree with the use of AI at all.,Not good. It would feel fake. I also don't agree with the use of AI at all.,"I think AI is silly. I don't think it should be used and I think it is dangerous. Most people don't even turn cookies off on websites, so who knows what information it is collecting about us constantly. We don't know what it is fully capable of yet. We are already in the dystopian future and AI is just making things worse and worse - it's another way for humans to get infinitely lazier.",2023-05-12
1036763-1036745-110567126,Yes,18-24,Science and Technology,Yes,ChatGPT,,Laptop,,,,,Helpful,Helpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Helpful,Helpful,,Helpful,Neither helpful or unhelpful,Neither helpful or unhelpful,Helpful,Positive,,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Yes,,3,,,,2023-05-12
1036763-1036745-110571014,Yes,35-44,Education and Society,Yes,ChatGPT,,Laptop,,,,,Very Helpful,Very Helpful,I have not used any,I have not used any,I have not used any,I have not used any,I have not used any,I have not used any,I have not used any,I have not used any,I have not used any,Positive,,Strongly disagree,Strongly agree,Agree,Strongly disagree,,,3,"Hard to say without understanding how this would work. I am not against it, but would need to know more ",Perfectly fine. I think it is an exciting tool to succinctly summarise information ,,2023-05-12
1036763-1036745-110572979,Yes,25-34,Health,No,,,,,I feel that using AI tools would limit my creativity,,,,,,,,,,,,,,Negative,,Strongly agree,Disagree,Disagree,Agree,Yes,,2,Hmmmm,Problem ,The best tool for learning is thinking by yourself other than using AI,2023-05-12
1036763-1036745-110576258,Yes,45-54,Arts,No,,,,,I am concerned that using AI tools would be cheating,,,,,,,,,,,,,,Negative,,Strongly agree,Strongly disagree,Agree,Strongly disagree,No,,1,"That would be a backwards step, tutors should be immersed in my learning and outputs to fully and fairly understand and grade my work","That would be a terrible idea, the content should be created based on the cohort and learning outcomes.",,2023-05-12
1036763-1036745-110579207,Yes,25-34,Science and Technology,Yes,"ChatGPT,Bing AI",,Laptop,,,,,Helpful,I have not used any,I have not used any,I have not used any,Very Helpful,Very Helpful,I have not used any,Helpful,Helpful,I have not used any,I have not used any,Positive,,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Yes,,4,"TurnItIn is already an AI application. The human touch is important particularly for feedback, AI systems tend to be hung up on keywords and may disadvantage students.","It is ok.  I discuss a lot of my coursework with chatgpt, and I crosscheck the output, due to hallucination phenomena. Tutors can do the same. The tools are meant to be useful to humanity, and we're better of working alongside it. Thoughts like it is disadvantageous or will take out jobs is based in fear and reduce learning. We need adapt that's all.","It is a technology. Calculators were once thought to be disruptive for mathematics. Computers were then used widely. AI is the new thing, we can learn to work with this tech. ",2023-05-12
